lang_a,lang_b,family_id,ling_divergence,geo_distance_km,lat_a,lon_a,lat_b,lon_b,corridor_ruggedness,log_geo_dist
AINU_NIIKAPPU,AINU_YAKUMO,ainu1252,0.07059523809523809,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,HOKKAIDO_AINU,ainu1252,0.25142857142857145,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,KURIL_AINU,ainu1252,0.4513824884792627,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NIIKAPPU,SAKHALIN_AINU,ainu1252,0.3805764411027569,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,AINU_OBIHIRO,ainu1252,0.09919642857142856,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,AINU_OCHIHO,ainu1252,0.32550595238095237,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,AINU_OSHAMAMBE,ainu1252,0.07998917748917748,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,AINU_RAICHISHKA,ainu1252,0.3561282467532468,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,AINU_SAMANI,ainu1252,0.13907738095238095,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,AINU_SARU,ainu1252,0.2118838763575606,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,AINU_SHIRAURA,ainu1252,0.3421130952380952,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,AINU_SOYA,ainu1252,0.17637827858416094,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,AINU_TARANTOMARI,ainu1252,0.28741071428571424,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,AINU_YAKUMO,ainu1252,0.07607142857142857,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,HOKKAIDO_AINU,ainu1252,0.24523809523809526,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_NUKKIBETSU,KURIL_AINU,ainu1252,0.44546850998463905,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
